city,lat,lng,max_temp,humidity,wind_speed,cloudiness,date,country
Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,82,3.0,46,1602967247,RU
Gari,59.43,62.35,31.640000000000022,94,4.74,40,1602967247,RU
Constitucion,23.99,-104.67,80.6,22,3.22,5,1602967247,MX
Filingué,14.35,3.32,94.58600000000007,24,0.3,96,1602967247,NE
Derzhavīnsk,51.1,66.32,47.354000000000056,54,6.5,99,1602967248,KZ
Baie-Comeau,49.22,-68.15,42.8,93,4.6,90,1602967248,CA
Lagoa,39.05,-27.98,62.564000000000036,65,8.17,77,1602967208,PT
Ponta do Sol,17.2,-25.09,82.4,74,6.2,40,1602967248,CV
Srednekolymsk,67.45,153.68,23.738000000000042,98,3.42,74,1602967248,RU
Dunedin,-45.87,170.5,51.00800000000001,80,2.68,16,1602967249,NZ
Saldanha,-33.01,17.94,58.83800000000005,91,4.87,63,1602967249,ZA
Tiznit Province,29.58,-9.5,59.70200000000008,74,1.01,0,1602967249,MA
Lingao,19.91,109.69,76.24400000000009,88,10.88,100,1602967249,CN
Kariya,34.75,134.4,50.0,97,2.24,84,1602967250,JP
Puerto del Rosario,28.5,-13.86,71.6,73,2.1,75,1602967250,ES
Kattivākkam,13.22,80.32,80.6,83,1.4,75,1602967250,IN
Bad Wurzach,47.9,9.9,42.998000000000026,96,0.88,98,1602967250,DE
São João da Barra,-21.64,-41.05,75.2,57,3.6,75,1602967251,BR
Benguela,-12.58,13.41,76.01000000000008,81,1.81,99,1602967251,AO
Mosetse,-20.75,26.65,76.80200000000008,32,5.9,0,1602967251,BW
Makakilo City,21.35,-158.09,82.4,74,2.1,20,1602967252,US
Torbay,47.67,-52.73,51.998000000000026,100,5.7,90,1602967252,CA
Kununurra,-15.77,128.73,77.0,94,3.85,26,1602967252,AU
Bethanien,-26.5,17.16,74.30000000000001,20,3.67,11,1602967252,NA
Nānākuli,21.39,-158.15,82.4,74,2.1,20,1602967253,US
Vanavara,60.34,102.28,35.38399999999999,96,2.55,100,1602967253,RU
Konëvo,62.12,39.32,35.708000000000006,85,4.82,100,1602967253,RU
Vavuniya,8.75,80.5,76.47800000000007,85,2.75,100,1602967253,LK
Marrakesh,31.63,-8.01,71.6,40,3.1,0,1602967141,MA
Almaznyy,48.04,40.05,64.4,52,5.0,22,1602967254,RU
Ridgecrest,35.62,-117.67,89.99600000000005,10,0.45,0,1602967254,US
Chunskiy,56.08,99.63,38.66000000000008,86,2.51,100,1602967254,RU
Sudak,44.85,34.97,68.61200000000005,79,1.76,100,1602967255,UA
Champerico,14.3,-91.92,84.2,74,4.1,75,1602967255,GT
Dicabisagan,17.08,122.42,77.234,87,3.17,91,1602967255,PH
Enid,36.4,-97.88,75.2,33,8.2,1,1602967255,US
Hobyo,5.35,48.53,79.89800000000002,78,7.79,73,1602967256,SO
Winneba,5.35,-0.62,78.80000000000001,88,4.6,75,1602967256,GH
Umm Bāb,25.21,50.81,78.80000000000001,61,3.6,1,1602967256,QA
Gravdal,68.12,13.5,42.83600000000007,63,15.39,100,1602967256,NO
Eyl,7.98,49.82,80.18600000000006,76,5.11,4,1602967257,SO
Lambaré,-25.35,-57.61,93.2,34,4.6,40,1602967257,PY
Sambava,-14.27,50.17,72.23000000000005,81,5.26,16,1602967258,MG
Abhar,36.15,49.22,51.35,40,0.78,0,1602967258,IR
Te Anau,-45.42,167.72,47.53399999999999,87,0.29,100,1602967258,NZ
Dawson Creek,55.77,-120.24,19.4,67,3.1,75,1602967090,CA
Byron Bay,-28.65,153.62,69.99800000000002,82,1.5,27,1602967198,AU
Hearst,49.68,-83.67,40.1,69,1.79,100,1602967258,CA
Callaway,30.15,-85.57,80.99600000000005,24,3.6,1,1602967259,US
Vincennes,38.68,-87.53,66.2,17,7.2,1,1602967259,US
Ponta do Sol,32.67,-17.1,69.80000000000001,64,5.7,40,1602967259,PT
Chipinge,-20.19,32.62,59.63000000000004,90,1.68,0,1602967260,ZW
Noyabrsk,63.2,75.45,28.904000000000053,97,6.56,100,1602967260,RU
Kamenka,51.32,42.77,53.99600000000005,67,8.18,100,1602967260,RU
Swift Current,50.28,-107.8,21.2,73,8.7,1,1602967200,CA
Merowe,18.48,31.82,86.05400000000006,13,5.1,0,1602967261,SD
Maningrida,-12.07,134.27,75.50600000000003,86,2.54,92,1602967261,AU
Miandrivazo,-19.52,45.47,77.30600000000004,66,2.78,1,1602967261,MG
San Luis,-33.3,-66.34,92.24600000000005,17,5.49,0,1602967262,AR
Maţāy,28.42,30.78,72.80600000000004,51,6.02,0,1602967262,EG
Ossora,59.24,163.07,34.268000000000086,81,2.79,2,1602967262,RU
Egvekinot,66.32,-179.17,24.944000000000074,92,2.22,6,1602967262,RU
Port Macquarie,-31.43,152.92,66.99199999999999,83,1.0,85,1602967263,AU
Denpasar,-8.65,115.22,77.0,83,2.6,20,1602967263,ID
Saldaña,3.93,-75.02,96.31400000000004,32,1.08,81,1602967264,CO
